Model,Family,Accuracy,Precision,Recall,F1,Crime Recall,Training seconds,Mode
SomBERTa-A,Encoder-only Transformer,0.9423380726698263,0.9423548114259673,0.9423380726698263,0.9422741409365812,0.9561527581329562,471.8782787322998,"full: train=5906, epochs=3"
Random Forest,Classical ML,0.915481832543444,0.9032258064516129,0.9504950495049505,0.9151129989939379,0.9504950495049505,,full split
Random Forest (baseline),Classical ML,0.9139020537124802,0.9029649595687331,0.9476661951909476,0.9135506429289925,0.9476661951909476,,full split
SomBERTa-B,Encoder-only Transformer,0.9454976303317536,0.9456802039986083,0.9454976303317536,0.9455406901759877,0.9448373408769448,1084.023047208786,"full: train=5906, epochs=4"
Linear SVM,Classical ML,0.9170616113744076,0.9180555555555555,0.9349363507779349,0.9169515237321411,0.9349363507779349,,full split
Logistic Regression,Classical ML,0.9123222748815166,0.9127423822714681,0.9321074964639321,0.9121862681526737,0.9321074964639321,,full split
1D-CNN,Deep Learning,0.8783570300157978,0.8792268856124573,0.8783570300157978,0.877700765209268,0.9222065063649222,11.02433180809021,full same split
Gradient Boosting,Classical ML,0.915481832543444,0.9285714285714286,0.9193776520509194,0.9155345337556557,0.9193776520509194,,full split
KNN,Classical ML,0.9115323854660348,0.9219858156028369,0.9193776520509194,0.9115487202896412,0.9193776520509194,,full split
BiLSTM,Deep Learning,0.8894154818325435,0.8893953240331779,0.8894154818325435,0.8891794980728976,0.9151343705799151,16.323498249053955,full same split
Naive Bayes,Classical ML,0.882306477093207,0.8929577464788733,0.8967468175388967,0.8822727323562514,0.8967468175388967,,full split
Decision Tree,Classical ML,0.8688783570300158,0.8826025459688827,0.8826025459688827,0.8688783570300158,0.8826025459688827,,full split
