Model,Family,Accuracy,Precision,Recall,F1,Crime Recall,Training seconds,Mode
SomBERTa-B,Encoder-only Transformer,0.9462875197472354,0.9468988605786742,0.9462875197472354,0.9461191150705721,0.9717114568599717,1095.7005679607391,"full: train=5906, epochs=4"
SomBERTa-A,Encoder-only Transformer,0.9391785150078988,0.9400256513158141,0.9391785150078988,0.9389471214494112,0.9688826025459689,479.0328378677368,"full: train=5906, epochs=3"
Random Forest,Classical ML,0.915481832543444,0.9032258064516129,0.9504950495049505,0.9151129989939379,0.9504950495049505,,full split
Linear SVM,Classical ML,0.9170616113744076,0.9180555555555555,0.9349363507779349,0.9169515237321411,0.9349363507779349,,full split
Linear SVM (baseline),Classical ML,0.909952606635071,0.906721536351166,0.9349363507779349,0.9097386243830832,0.9349363507779349,,full split
Logistic Regression,Classical ML,0.9123222748815166,0.9127423822714681,0.9321074964639321,0.9121862681526737,0.9321074964639321,,full split
1D-CNN,Deep Learning,0.8838862559241706,0.8850367893745208,0.8838862559241706,0.8832061502290353,0.9292786421499293,16.37797975540161,full same split
Gradient Boosting,Classical ML,0.915481832543444,0.9285714285714286,0.9193776520509194,0.9155345337556557,0.9193776520509194,,full split
KNN,Classical ML,0.9115323854660348,0.9219858156028369,0.9193776520509194,0.9115487202896412,0.9193776520509194,,full split
BiLSTM,Deep Learning,0.8846761453396524,0.8845566054088388,0.8846761453396524,0.8845357522517474,0.9052333804809052,15.685811758041382,full same split
Naive Bayes,Classical ML,0.882306477093207,0.8929577464788733,0.8967468175388967,0.8822727323562514,0.8967468175388967,,full split
Decision Tree,Classical ML,0.8688783570300158,0.8826025459688827,0.8826025459688827,0.8688783570300158,0.8826025459688827,,full split
