Model,Family,Accuracy,Precision,Recall,F1,Crime Recall,Training seconds,Mode
SomBERTa-A,Encoder-only Transformer,0.595,0.5803108808290155,1.0,0.7344262295081967,1.0,174.48133754730225,"fast: train=100, epochs=1"
SomBERTa-B,Encoder-only Transformer,0.56,0.56,1.0,0.717948717948718,1.0,362.61202812194824,"fast: train=100, epochs=1"
1D-CNN,Deep Learning,0.5933333333333334,0.5809859154929577,0.9821428571428571,0.7300884955752213,0.9821428571428571,2.8556625843048096,full split
BiLSTM,Deep Learning,0.5833333333333334,0.5787545787545788,0.9404761904761905,0.7165532879818595,0.9404761904761905,32.405864000320435,full split
Linear SVM,Classical ML,0.9131121642969984,0.9094650205761317,0.9377652050919377,0.912905690194203,0.9377652050919377,,full split
Random Forest (baseline),Classical ML,0.9107424960505529,0.9057377049180327,0.9377652050919377,0.9104970534783047,0.9377652050919377,,full split
Random Forest,Classical ML,0.9139020537124802,0.9152777777777777,0.9321074964639321,0.9137877722552703,0.9321074964639321,,full split
Logistic Regression,Classical ML,0.9020537124802528,0.9158345221112696,0.9080622347949081,0.9021064425818627,0.9080622347949081,,full split
Naive Bayes,Classical ML,0.882306477093207,0.8885793871866295,0.9024045261669024,0.8821759862952139,0.9024045261669024,,full split
Gradient Boosting,Classical ML,0.891785150078989,0.9083094555873925,0.8967468175388967,0.8918706457117438,0.8967468175388967,,full split
KNN,Classical ML,0.8830963665086888,0.9033189033189033,0.8854314002828855,0.8832347506684753,0.8854314002828855,,full split
Decision Tree,Classical ML,0.8546603475513428,0.9265905383360522,0.8033946251768034,0.8551214837123523,0.8033946251768034,,full split
